MSOA,population,males,females,children,youth,elderly
E02000929,8106,3776,4331,514,1052,1041
E02000930,10077,4747,5337,471,1465,980
E02000931,8815,4324,4494,623,853,827
E02000932,12844,6173,6668,664,1114,1390
E02000933,8869,4154,4718,407,842,1668
E02000934,8915,4241,4676,405,894,1035
E02000935,7370,3335,4040,467,1791,950
E02000936,9367,4335,5030,410,953,1305
E02000937,8155,3858,4298,540,852,954
E02000938,10764,5041,5718,690,1187,1872
E02000939,7819,3814,4004,549,743,1253
E02000940,9326,4503,4824,485,883,961
E02000941,10171,4811,5363,737,922,1262
E02000942,9685,4658,5032,595,937,1590
E02000943,8724,4104,4618,456,909,1050
E02000944,7636,3613,4021,472,942,1043
E02000945,7845,3727,4111,446,1356,1134
E02000946,8436,4372,4069,500,903,907
E02000947,9339,4379,4956,803,661,1136
E02000948,10026,4771,5259,511,1018,1199
E02000949,10001,4707,5296,509,912,1450
E02000950,7582,3589,3996,408,838,1190
E02000951,6431,2993,3436,298,738,916
E02000952,6145,2878,3269,317,690,862
E02000953,7504,3388,4113,559,896,732
E02000954,6103,2823,3276,353,760,932
E02000955,6889,3242,3648,353,885,1019
E02000956,7421,3377,4047,362,1201,822
E02000957,10866,5192,5671,624,1185,1328
E02000958,8283,3961,4315,421,1196,1491
E02000959,7866,3757,4110,521,879,1028
E02000960,6156,2860,3291,263,673,1242
E02000961,9813,4697,5119,548,1276,1438
E02000962,7703,3589,4119,319,831,1602
E02000963,10526,4974,5547,564,1482,1734
E02000964,12142,5650,6495,579,1691,1873
E02000965,7879,3789,4078,412,915,994
E02000966,9253,4491,4761,428,945,1581
E02000967,6055,2901,3149,220,909,1006
E02000968,14487,6863,7612,720,2580,2454
E02000969,9607,4502,5112,458,1510,1396
E02000970,6840,3369,3459,244,838,1416
E02000971,7472,3863,3619,254,1135,1096
E02000972,7881,4047,3833,181,1534,1194
E02000973,9955,4858,5093,457,1197,1545
E02000974,8707,4306,4400,378,1617,1369
E02000975,7415,3707,3711,279,1122,1008
E02000976,8427,4079,4360,334,1183,1219
E02000977,6391,3413,2973,173,1261,1159
E02000978,7129,3358,3769,281,1648,1512
E02000979,8090,3952,4129,284,1259,1454
E02000980,8724,4248,4476,299,1260,1662
E02000981,8271,4229,4040,220,1066,1427
E02000982,7637,3484,4152,304,1006,1448
E02000983,7691,3662,4030,318,1033,1527
E02000984,7677,3795,3884,353,745,2218
E02000985,7414,3556,3868,278,753,2505
